english	简体中文	pinyin
vessel	导管	dǎo guǎn
virus	病毒	bìng dú
volume	体积	tǐ jī
water potential	水势	shuǐ shì
water stress	水分胁迫	shuǐ fèn xié pò
water vapour	水蒸气	shuǐ zhēng qì
wavelength	波长	bō cháng
xanthophyll	叶黄素	yè huáng sù
xerophyte	旱生植物	hàn shēng zhí wù
xylem	木质部	mù zhì bù
yeast	酵母	jiào mǔ
yield	产量	chǎn liàng
zoo	动物园	dòng wù yuán
